Traits	Latitude	Longitude
NC_014373.1 |Bundibugyo ebolavirus|2007-11	0.7125	30.059999
NC_006432.1 |Sudan ebolavirus|	2.774999	32.299167
OQ348596.1 |Zaire ebolavirus|2020-06-26	1.833	29.5
OQ348597.1 |Zaire ebolavirus|2020-06-26	1.833	29.5
OQ348598.1 |Zaire ebolavirus|2019-07-02	1.833	29.5
MT800930.1 |Zaire ebolavirus|2019-12-24	1.833	29.5
MT583339.1 |Zaire ebolavirus|1976	2.8211	22.2255
MT583340.1 |Zaire ebolavirus|1976	2.8211	22.2255
MT583341.1 |Zaire ebolavirus|1995	-5.04098	18.81619
MT583342.1 |Zaire ebolavirus|1995	-5.04098	18.81619
MT583343.1 |Bundibugyo ebolavirus|2007	0.7125	30.059999
MT583344.1 |Bundibugyo ebolavirus|2007	0.7125	30.059999
MT583345.1 |Sudan ebolavirus|2000	2.774999	32.299167
MT583346.1 |Sudan ebolavirus|2000	2.774999	32.299167
MT583347.1 |Sudan ebolavirus|2004	4.57083	28.39417
MT583348.1 |Sudan ebolavirus|2004	4.57083	28.39417
MT742157.1 |Bundibugyo ebolavirus|2012-09-09	2.77391	27.61603
MK952150.1 |Sudan ebolavirus|1976-11-17	4.64083	28.25076
MK731985.1 |Zaire ebolavirus|2018-08-13	-1.658501	29.220455
MK731986.1 |Zaire ebolavirus|2018-08-16	-1.658501	29.220455
MK731987.1 |Zaire ebolavirus|2018-08-11	-1.658501	29.220455
MK731988.1 |Zaire ebolavirus|2018-08-13	-1.658501	29.220455
MK731989.1 |Zaire ebolavirus|2018-08-16	-1.658501	29.220455
MK731990.1 |Zaire ebolavirus|2018-08-17	-1.658501	29.220455
MK731992.1 |Zaire ebolavirus|2018-08-20	-1.658501	29.220455
MK731993.1 |Zaire ebolavirus|2018-08-11	-1.658501	29.220455
MK731994.1 |Zaire ebolavirus|2018-08-14	-1.658501	29.220455
MK088515.1 |Zaire ebolavirus|2017-05-01	1.305833	34.289172
MK007329.1 |Zaire ebolavirus|2018-07-27	1.833	29.5
MK007330.1 |Zaire ebolavirus|2018-07-28	1.833	29.5
MK007331.1 |Zaire ebolavirus|2018-08-12	1.833	29.5
MK007332.1 |Zaire ebolavirus|2018-08-12	1.833	29.5
MK007333.1 |Zaire ebolavirus|2018-08-12	1.833	29.5
MK007334.1 |Zaire ebolavirus|2018-08-13	1.833	29.5
MK007335.1 |Zaire ebolavirus|2018-08-13	1.833	29.5
MK007336.1 |Zaire ebolavirus|2018-08-13	1.833	29.5
MK007337.1 |Zaire ebolavirus|2018-08-14	1.833	29.5
MK007338.1 |Zaire ebolavirus|2018-08-14	1.833	29.5
MK007339.1 |Zaire ebolavirus|2018-08-14	1.833	29.5
MK007340.1 |Zaire ebolavirus|2018-08-14	1.833	29.5
MK007341.1 |Zaire ebolavirus|2018-08-14	1.833	29.5
MK007342.1 |Zaire ebolavirus|2018-08-15	1.833	29.5
MK007343.1 |Zaire ebolavirus|2018-08-15	1.833	29.5
MK007344.1 |Zaire ebolavirus|2018-08-16	1.833	29.5
MH733477.1 |Zaire ebolavirus|2018-05-10	-0.083333	18.366667
MH733478.1 |Zaire ebolavirus|2018-05-11	-0.083333	18.366667
MH733479.1 |Zaire ebolavirus|2018-05-15	-0.083333	18.366667
MH733480.1 |Zaire ebolavirus|2018-05-15	-0.083333	18.366667
MH733481.1 |Zaire ebolavirus|2018-05-17	-0.083333	18.366667
MH733482.1 |Zaire ebolavirus|2018-05-17	-0.083333	18.366667
MH733483.1 |Zaire ebolavirus|2018-05-18	-0.083333	18.366667
MH733484.1 |Zaire ebolavirus|2018-05-19	-0.083333	18.366667
MH733485.1 |Zaire ebolavirus|2018-05-19	-0.083333	18.366667
MH733486.1 |Zaire ebolavirus|2018-05-20	-0.083333	18.366667
MH733487.1 |Zaire ebolavirus|2018-05-19	-0.083333	18.366667
MH733488.1 |Zaire ebolavirus|2018-05-21	-0.083333	18.366667
MH733489.1 |Zaire ebolavirus|2018-05-22	-0.083333	18.366667
MH733490.1 |Zaire ebolavirus|2018-05-28	-0.083333	18.366667
MH733491.1 |Zaire ebolavirus|2018-06-06	-0.083333	18.366667
MK028834.1 |Bundibugyo ebolavirus|2007	0.7125	30.059999
MK028835.1 |Bundibugyo ebolavirus|2007	0.7125	30.059999
MK028856.1 |Bundibugyo ebolavirus|2007	0.7125	30.059999
MH613311.1 |Zaire ebolavirus|2017-05	1.305833	34.289172
MH481611.2 |Zaire ebolavirus|2017-05-07	3.365535	23.884504
MH121162.1 |Sudan ebolavirus|1976	4.64083	28.25076
MH121163.1 |Sudan ebolavirus|2000	2.774999	32.299167
MH121164.1 |Zaire ebolavirus|1995	-5.04098	18.81619
MH121165.1 |Zaire ebolavirus|1995	-5.04098	18.81619
